FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200812;0000;;;;
200813;0000;;;;
200814;0000;;;;
200815;0000;;;;
200816;0000;;;;
200817;0000;;;;
200818;0000;;;;
200819;0000;;;;
200820;0000;;;;
200821;0000;;;;
200822;0000;;;;
200823;0000;;;;
200824;0000;;;;
200825;0000;;;;
200826;0000;;;;
200827;0000;;;;
200828;0000;;;;
200829;0000;;;;
200830;0000;;;;
200831;0000;;;;
200901;0000;;;;
200902;0000;;;;
200903;0000;;;;
200904;0000;;;;
200905;0000;;;;
200906;0000;;;;
200907;0000;;;;
200908;0000;;;;
200909;0000;;;;
200910;0000;;;;
200911;0000;;;;
200912;0000;;;;
200913;0000;;;;
200914;0000;;;;
200915;0000;;;;
200916;0000;;;;
200917;0000;;;;
200918;0000;;;;
200919;0000;;;;
200920;0000;;;;
200921;0000;;;;
200922;0000;;;;
200923;0000;;;;
200924;0000;;;;
200925;0000;;;;
200926;0000;;;;
200927;0000;;;;
200928;0000;;;;
200929;0000;;;;
200930;0000;;;;
201001;0000;;;;
201002;0000;;;;
201003;0000;;;;
201004;0000;;;;
201005;0000;;;;
201006;0000;;;;
201007;0000;;;;
201008;0000;;;;
201009;0000;;;;
201010;0000;;;;
201011;0000;;;;
201012;0000;;;;
201013;0000;;;;
201014;0000;;;;
201015;0000;;;;
201016;0000;;;;
201017;0000;;;;
201018;0000;;;;
201019;0000;;;;
201020;0000;;;;
201021;0000;;;;
201022;0000;;;;
201023;0000;;;;
201024;0000;;;;
201025;0000;;;;
201026;0000;;;;
201027;0000;;;;
201028;0000;;;;
201029;0000;;;;
201030;0000;;;;
201031;0000;;;;
201101;0000;;;;
201102;0000;;;;
201103;0000;;;;
201104;0000;;;;
201105;0000;;;;
201106;0000;;;;
201107;0000;;;;
201108;0000;;;;
201109;0000;;;;
201110;0000;;;;
201111;0000;;;;
201112;0000;;;;
201113;0000;;;;
201114;0000;;;;
201115;0000;;;;
201116;0000;;;;
201117;0000;;;;
201118;0000;;;;
201119;0000;;;;
201120;0000;;;;
201121;0000;;;;
201122;0000;;;;
201123;0000;;;;
201124;0000;;;;
201125;0000;;;;
201126;0000;;;;
201127;0000;;;;
201128;0000;;;;
201129;0000;;;;
201130;0000;;;;
201201;0000;;;;
201202;0000;;;;
201203;0000;;;;
201204;0000;;;;
201205;0000;;;;
201206;0000;;;;
201207;0000;;;;
201208;0000;;;;
201209;0000;;;;
201210;0000;;;;
201211;0000;;;;
201212;0000;;;;
201213;0000;;;;
201214;0000;;;;
201215;0000;;;;
201216;0000;;;;
201217;0000;;;;
201218;0000;;;;
201219;0000;;;;
201220;0000;;;;
201221;0000;;;;
201222;0000;;;;
201223;0000;;;;
201224;0000;;;;
201225;0000;;;;
201226;0000;;;;
201227;0000;;;;
201228;0000;;;;
201229;0000;;;;
201230;0000;;;;
201231;0000;;;;
210101;0000;;;;
210102;0000;;;;
210103;0000;;;;
210104;0000;;;;
210105;0000;;;;
210106;0000;;;;
210107;0000;;;;
210108;0000;;;;
210109;0000;;;;
210110;0000;;;;
210111;0000;;;;
210112;0000;;;;
210113;0000;;;;
210114;0000;;;;
210115;0000;;;;
210116;0000;;;;
210117;0000;;;;
210118;0000;;;;
210119;0000;;;;
210120;0000;;;;
210121;0000;;;;
210122;0000;;;;
210123;0000;;;;
210124;0000;;;;
210125;0000;;;;
210126;0000;;;;
210127;0000;;;;
210128;0000;;;;
210129;0000;;;;
210130;0000;;;;
210131;0000;;;;
210201;0000;;;;
210202;0000;;;;
210203;0000;;;;
210204;0000;;;;
210205;0000;;;;
210206;0000;;;;
210207;0000;;;;
210208;0000;;;;
210209;0000;;;;
210210;0000;;;;
210211;0000;;;;
210212;0000;;;;
210213;0000;;;;
210214;0000;;;;
210215;0000;;;;
210216;0000;;;;
210217;0000;;;;
210218;0000;;;;
210219;0000;;;;
210220;0000;;;;
210221;0000;;;;
210222;0000;;;;
210223;0000;;;;
210224;0000;;;;
210225;0000;;;;
210226;0000;;;;
210227;0000;;;;
210228;0000;;;;
210301;0000;;;;
210302;0000;;;;
210303;0000;;;;
210304;0000;;;;
210305;0000;;;;
210306;0000;;;;
210307;0000;;;;
210308;0000;;;;
210309;0000;;;;
210310;0000;;;;
210311;0000;;;;
210312;0000;;;;
210313;0000;;;;
210314;0000;;;;
210315;0000;;;;
210316;0000;;;;
210317;0000;;;;
210318;0000;;;;
210319;0000;;;;
210320;0000;;;;
210321;0000;;;;
210322;0000;;;;
210323;0000;;;;
210324;0000;;;;
210325;0000;;;;
210326;0000;;;;
210327;0000;;;;
210328;0000;;;;
210329;0000;;;;
210330;0000;;;;
210331;0000;;;;
210401;0000;;;;
210402;0000;;;;
210403;0000;;;;
210404;0000;;;;
210405;0000;;;;
210406;0000;;;;
210407;0000;;;;
210408;0000;;;;
210409;0000;;;;
210410;0000;;;;
210411;0000;;;;
210412;0000;;;;
210413;0000;;;;
210414;0000;;;;
210415;0000;;;;
210416;0000;;;;
210417;0000;;;;
210418;0000;;;;
210419;0000;;;;
210420;0000;;;;
210421;0000;;;;
210422;0000;;;;
210423;0000;;;;
210424;0000;;;;
210425;0000;;;;
210426;0000;;;;
210427;0000;;;;
210428;0000;;;;
210429;0000;;;;
210430;0000;;;;
210501;0000;;;;
210502;0000;;;;
210503;0000;;;;
210504;0000;;;;
210505;0000;;;;
210506;0000;;;;
210507;0000;;;;
210508;0000;;;;
210509;0000;;;;
210510;0000;;;;
210511;0000;;;;
210512;0000;;;;
210513;0000;;;;
210514;0000;;;;
210515;0000;;;;
210516;0000;;;;
210517;0000;;;;
210518;0000;;;;
210519;0000;;;;
210520;0000;;;;
210521;0000;;;;
210522;0000;;;;
210523;0000;;;;
210524;0000;;;;
210525;0000;;;;
210526;0000;;;;
210527;0000;;;;
210528;0000;;;;
210529;0000;;;;
210530;0000;;;;
210531;0000;;;;
210601;0000;;;;
210602;0000;;;;
210603;0000;;;;
210604;0000;;;;
210605;0000;;;;
210606;0000;;;;
210607;0000;;;;
210608;0000;;;;
210609;0000;;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;;;;
210613;0000;;;;
210614;0000;;;;
210615;0000;;;;
210616;0000;;;;
210617;0000;;;;
210618;0000;;;;
210619;0000;;;;
210620;0000;;;;
210621;0000;;;;
210622;0000;;;;
210623;0000;;;;
210624;0000;;;;
210625;0000;;;;
210626;0000;;;;
210627;0000;;;;
210628;0000;;;;
210629;0000;;;;
210630;0000;;;;
210701;0000;;;;
210702;0000;;;;
210703;0000;;;;
210704;0000;;;;
210705;0000;;;;
210706;0000;;;;
210707;0000;;;;
210708;0000;;;;
210709;0000;;;;
210710;0000;;;;
210711;0000;;;;
210712;0000;;;;
210713;0000;;;;
210714;0000;;;;
210715;0000;;;;
210716;0000;;;;
210717;0000;;;;
210718;0000;;;;
210719;0000;;;;
210720;0000;;;;
210721;0000;;;;
210722;0000;;;;
210723;0000;;;;
210724;0000;;;;
210725;0000;;;;
210726;0000;;;;
210727;0000;;;;
210728;0000;;;;
210729;0000;;;;
210730;0000;;;;
210731;0000;;;;
210801;0000;;;;
210802;0000;;;;
210803;0000;;;;
210804;0000;;;;
210805;0000;;;;
210806;0000;;;;
210807;0000;;;;
210808;0000;;;;
210809;0000;;;;
210810;0000;;;;
210811;0000;;;;
210812;0000;;;;
210813;0000;;;;
210814;0000;;;;
210815;0000;;;;
210816;0000;;;;
210817;0000;;;;
210818;0000;;;;
210819;0000;;;;
210820;0000;;;;
210821;0000;;;;
210822;0000;;;;
210823;0000;;;;
210824;0000;;;;
210825;0000;;;;
210826;0000;;;;
210827;0000;;;;
210828;0000;;;;
210829;0000;;;;
210830;0000;;;;
210831;0000;;;;
210901;0000;;;;
210902;0000;;;;
210903;0000;;;;
210904;0000;;;;
210905;0000;;;;
210906;0000;;;;
210907;0000;;;;
210908;0000;;;;
210909;0000;;;;
210910;0000;;;;
210911;0000;;;;
210912;0000;;;;
210913;0000;;;;
210914;0000;;;;
210915;0000;;;;
210916;0000;;;;
210917;0000;;;;
210918;0000;;;;
210919;0000;;;;
210920;0000;;;;
210921;0000;;;;
210922;0000;;;;
210923;0000;;;;
210924;0000;;;;
210925;0000;;;;
210926;0000;;;;
210927;0000;;;;
210928;0000;;;;
210929;0000;;;;
210930;0000;;;;
211001;0000;;;;
211002;0000;;;;
211003;0000;;;;
211004;0000;;;;
211005;0000;;;;
211006;0000;;;;
211007;0000;;;;
211008;0000;;;;
211009;0000;;;;
211010;0000;;;;
211011;0000;;;;
211012;0000;;;;
211013;0000;;;;
211014;0000;;;;
211015;0000;;;;
211016;0000;;;;
211017;0000;;;;
211018;0000;;;;
211019;0000;;;;
211020;0000;;;;
211021;0000;;;;
211022;0000;;;;
211023;0000;;;;
211024;0000;;;;
211025;0000;;;;
211026;0000;;;;
211027;0000;;;;
211028;0000;;;;
211029;0000;;;;
211030;0000;;;;
211031;0000;;;;
211101;0000;;;;
211102;0000;;;;
211103;0000;;;;
211104;0000;;;;
211105;0000;;;;
211106;0000;;;;
211107;0000;;;;
211108;0000;;;;
211109;0000;;;;
211110;0000;;;;
211111;0000;;;;
211112;0000;;;;
211113;0000;;;;
211114;0000;;;;
211115;0000;;;;
211116;0000;;;;
211117;0000;;;;
211118;0000;;;;
211119;0000;;;;
211120;0000;;;;
211121;0000;;;;
211122;0000;;;;
211123;0000;;;;
211124;0000;;;;
211125;0000;;;;
211126;0000;;;;
211127;0000;;;;
211128;0000;;;;
211129;0000;;;;
